City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
184,Melville,US,40.7934,-73.4151,92.88,44,0,10.36,clear sky
185,Niesky,DE,51.2924,14.8211,69.12,97,13,3.27,few clouds
186,Nova Paka,CZ,50.4945,15.515,66.88,89,45,4.99,scattered clouds
187,Artsvaberd,AM,40.8336,45.4711,58.91,36,0,5.3,clear sky
188,Brae,GB,60.3964,-1.353,56.17,94,100,11.81,light rain
189,Hami,CN,42.8,93.45,73.27,15,76,1.61,broken clouds
190,Maryville,US,35.7565,-83.9705,90.07,51,75,5.75,broken clouds
191,Codrington,AU,-38.2667,141.9667,50.47,91,75,10.33,broken clouds
192,Flin Flon,CA,54.7682,-101.865,66.04,42,20,8.05,smoke
193,Cap Malheureux,MU,-19.9842,57.6142,67.46,70,79,3.0,light rain
194,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,92.97,35,66,1.39,broken clouds
195,Barcelos,PT,41.5388,-8.6151,69.91,95,24,4.68,few clouds
196,Kletskaya,RU,49.3145,43.0584,79.52,25,0,14.61,clear sky
197,Katsuura,JP,35.1333,140.3,76.35,89,99,11.36,overcast clouds
198,Cape Town,ZA,-33.9258,18.4232,59.41,77,75,17.27,broken clouds
199,Tingo Maria,PE,-9.2895,-76.0088,88.11,45,20,2.3,few clouds
200,Acapulco,MX,16.8634,-99.8901,87.62,66,20,9.22,few clouds
201,Kysyl-Syr,RU,63.8986,122.7617,45.84,87,100,6.04,overcast clouds
202,Saint-Pierre,RE,-21.3393,55.4781,71.28,69,0,19.57,clear sky
203,Bambous Virieux,MU,-20.3428,57.7575,70.05,73,40,8.05,scattered clouds
204,Kukes,AL,42.0769,20.4219,66.85,89,54,5.17,broken clouds
205,Nishihara,JP,26.1842,127.7558,85.28,84,20,14.97,few clouds
206,Marzuq,YE,14.4,46.4667,79.05,57,39,8.21,scattered clouds
207,Pisco,PE,-13.7,-76.2167,63.01,77,20,8.05,few clouds
208,Henties Bay,NA,-22.116,14.2845,55.04,94,9,5.7,clear sky
209,Zhigansk,RU,66.7697,123.3711,40.6,79,22,7.9,few clouds
210,Zaragoza,ES,41.6561,-0.8773,74.01,75,40,13.8,thunderstorm with light rain
211,Klaksvik,FO,62.2266,-6.589,54.52,96,100,7.38,overcast clouds
212,Srandakan,ID,-7.9386,110.2506,73.96,85,99,9.33,overcast clouds
213,Mabaruma,GY,8.2,-59.7833,75.43,96,100,1.5,overcast clouds
214,Talnakh,RU,69.4865,88.3972,49.21,87,47,6.15,scattered clouds
215,Salalah,OM,17.0151,54.0924,75.29,100,100,3.44,light intensity drizzle
216,Kyra,RU,49.5776,111.9753,38.8,81,64,5.86,broken clouds
217,Lons,FR,43.3167,-0.4,84.42,61,0,0.0,clear sky
218,Ipira,BR,-12.1583,-39.7372,75.56,50,98,12.73,overcast clouds
219,Takoradi,GH,4.8845,-1.7554,74.25,85,23,5.19,few clouds
220,Maymyo,MM,22.0333,96.4667,67.51,88,93,2.01,overcast clouds
221,Casablanca,MA,33.5928,-7.6192,75.42,73,75,6.91,broken clouds
222,Kahului,US,20.8947,-156.47,84.97,66,20,13.0,few clouds
223,Baena,ES,37.6167,-4.3225,90.66,47,3,10.85,clear sky
224,Bredasdorp,ZA,-34.5322,20.0403,54.07,83,2,1.97,clear sky
225,Ola,RU,59.5833,151.2833,52.14,90,100,4.12,light rain
226,Hofn,IS,64.2539,-15.2082,51.82,93,75,4.61,broken clouds
227,Beringovskiy,RU,63.05,179.3167,49.3,95,100,17.83,moderate rain
228,Boende,CD,-0.2167,20.8667,74.7,78,50,3.22,light rain
229,Asmar,AF,35.0333,71.3581,72.21,86,100,7.43,light rain
230,Margate,GB,51.3813,1.3862,75.11,86,94,1.99,overcast clouds
231,Thinadhoo,MV,0.5333,72.9333,81.18,75,100,7.58,overcast clouds
232,Darnah,LY,32.767,22.6367,79.18,69,0,16.64,clear sky
233,Dingle,PH,10.9995,122.6711,75.7,91,77,2.08,broken clouds
234,Huarmey,PE,-10.0681,-78.1522,67.69,72,7,9.86,clear sky
235,Marawi,PH,7.9986,124.2928,67.64,93,89,3.04,overcast clouds
236,Semey,KZ,50.4111,80.2275,56.43,54,0,10.02,clear sky
237,Sorland,NO,67.667,12.6934,55.26,64,5,7.43,clear sky
238,Popondetta,PG,-8.7537,148.2534,71.26,97,83,2.73,broken clouds
239,Gold Coast,AU,-28.0,153.4333,51.01,76,0,1.14,clear sky
240,Ancud,CL,-41.8697,-73.8203,45.23,66,100,6.13,overcast clouds
241,Champerico,GT,14.3,-91.9167,91.94,76,93,8.93,overcast clouds
242,Kloulklubed,PW,7.0419,134.2556,83.66,65,78,7.92,broken clouds
