City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
323,Dickinson,US,84.02,broken clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
330,Manono,CD,81.59,broken clouds,-7.3,27.4167,Hotel hewa bora
334,Rayagada,IN,76.08,overcast clouds,19.1667,83.4167,"Hotel Swagath, Rayagada"
335,Junagarh,IN,76.15,overcast clouds,19.8667,82.9333,Hotel Swagat
340,Kuryk,KZ,78.17,clear sky,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
348,Dax,FR,85.66,overcast clouds,43.75,-1.1667,Marrocq
353,Dakar,SN,81.48,overcast clouds,14.6937,-17.4441,Novotel Dakar
358,Bandarbeyla,SO,75.94,clear sky,9.4942,50.8122,JABIR HOTEL
359,Hastings,GB,75.13,scattered clouds,50.8552,0.5729,Zanzibar Hotel
361,Littleton,US,87.19,few clouds,39.6133,-105.0166,InTown Suites Extended Stay Denver CO - Englewood
365,Three Hills,CA,78.62,overcast clouds,51.7001,-113.2686,Super 8 by Wyndham Three Hills AB
367,Salmo,CA,82.89,few clouds,49.1999,-117.2689,Reno Motel
371,Cabra,ES,79.59,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
372,Puerto Leguizamo,CO,82.44,overcast clouds,-0.1934,-74.7819,la casona de juancho
374,Caceres,ES,83.26,clear sky,39.522,-6.3748,Ahc Hoteles
379,Great Yarmouth,GB,76.41,broken clouds,52.6083,1.7305,Comfort Hotel Great Yarmouth
383,Mecca,SA,88.59,light rain,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
384,Sao Filipe,CV,78.22,broken clouds,14.8961,-24.4956,Hotel Xaguate
386,Sadovoye,RU,76.86,clear sky,47.7764,44.5089,Putnik
388,Rosarito,MX,87.64,scattered clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
389,Mercedes,AR,80.04,clear sky,-34.6515,-59.4307,Posada del Inti Centro
390,Olpad,IN,79.16,broken clouds,21.3333,72.75,IDTCATERING
393,Itarema,BR,80.78,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
401,Ewa Beach,US,84.15,clear sky,21.3156,-158.0072,Base Lodging
402,Tupelo,US,84.49,scattered clouds,34.2576,-88.7034,"Hilton Garden Inn Tupelo, MS"
403,Vitre,FR,80.42,broken clouds,48.1178,-1.2058,ibis Vitré Centre
409,Santa Cruz Cabralia,BR,75.43,scattered clouds,-16.2781,-39.0247,Puerto Princesa Inn
411,Truth Or Consequences,US,84.9,broken clouds,33.1284,-107.2528,Charles Hot Springs
417,Sanary-Sur-Mer,FR,78.75,clear sky,43.1178,5.8001,Résidence Pierre et Vacances Les Rivages de Coudoulière
419,Guymon,US,86.0,clear sky,36.6828,-101.4816,Simple Rewards
